claim,evidence,dataset,metric,source_file,figure_table,report_section,strength,caveat
LSTM is the best M5 forecaster,"MASE 1.316 < MA 1.346 < SES 1.351 < TSB 1.369; MAE 0.989 best",m5,MASE/MAE,scale_free_metrics/summary.csv + lstm/metrics_by_model.csv,F-NEW-01 + T-03,4.2,strong (full population + Holm-significant vs all),"M5 top gaps tiny in absolute terms (see significance claim)"
LSTM is the best Store forecaster,"MASE 0.978 < SARIMA-full500 1.055 < SNaive 1.183; MAE 7.87 best",store_item_demand,MASE/MAE,arima/metrics_by_model.csv (SARIMA) + lstm/metrics_by_model.csv,F-NEW-01/02 + T-04,4.3,strong (full population),effect sizes materially larger than M5
MA is the best Store inventory model,total cost 2084.49 < SES 2113.82 < SNaive 2128.14 < LSTM 2247.45,store_item_demand,total_cost (POLICY_DEFAULT),inventory/inventory_by_model.csv,I-01/02/03 + T-07,4.8,strong under default policy,BUT fragile across policies (9/27) -> always paired with fragility verdict
LSTM is the best M5 inventory model,total cost 152.83 < MA 158.83 < SES 159.31,m5,total_cost (POLICY_DEFAULT),inventory/inventory_by_model.csv,I-01/02/03 + T-06,4.7,strong under default policy,reinforced by 25/27 robustness
Forecast accuracy does not guarantee inventory superiority,"Store LSTM best MAE (7.87) but 4th on cost (2247.45); M5 aligned (LSTM wins both)",both,MAE vs total_cost,inventory_comparison_with_forecasting.csv (MAE cols) + inventory_by_model.csv,I-05 scatter + T-06/T-07,4.9,strong (demonstrated in both directions),mechanism: bias/safety-stock/cost-asymmetry interaction (discussion)
M5 LSTM is robust across policies,#1 in 25/27; only losses SES at (L3 svc90/95 P10),m5,policy wins,sensitivity/sensitivity_grid.csv,rank heatmap + F-NEW-03 + T-08,4.16,strong (exhaustive grid),losses cluster at short-lead/high-penalty corner
Store leadership is policy-sensitive,fragile split MA9/SES7/Naive6/DES5 of 27,store_item_demand,policy wins,sensitivity/sensitivity_grid.csv,rank heatmap + F-NEW-03 + T-08,4.16,strong (exhaustive grid),headline Store ranking must never be quoted without this
TES is consistently weak,"worst MAE and worst cost on both datasets (M5 346.68; Store 3419.88)",both,MAE + total_cost,all metrics_by_model.csv + inventory_by_model.csv,T-03/T-04/T-06/T-07,4.15/4.19,strong,additive TES implementation; trend+seasonality overfit on these structures
Statistically significant need not mean practically important,"M5 LSTM-TSB dz -0.031 Holm p~2e-10 (tiny); Store LSTM-MA dz -0.29 (material)",both,cohen_dz + Holm p,statistical_tests/pairwise_tests.csv,T-05,4.4/4.5,strong (91 pairs + bootstrap CIs),large-n significance inflation explicitly discussed
ARIMA fallback concentrates in highly intermittent M5 demand,"906/4000 pre-check skips (22.65%); 0 optimizer failures; Store ARIMA 0 fallbacks",m5,fallback_pct,arima/convergence_report.csv + convergence_details_all.csv,T-09 + A-03,4.18,strong (per-fit log),pre-check is by-design guard not failure; archetype concentration per details file
SARIMA full500 has zero fallbacks,4000/4000 fit_ok in 2382s; MAE 8.45 vs subset 8.31 (population shift),store_item_demand,fit rate + MAE,arima/run_log_full500.json + arima/metrics_by_model.csv,F-NEW-02 + T-04/T-09,4.14,strong (complete fit log),subset retained exploratory-only; Store-only by design
Croston family verdict (M5-only),"TSB best family MAE 1.010; SBA best family cost 160.66 (rank SBA<TSB<Croston on cost vs TSB<SBA<Croston on MAE)",m5,MAE + total_cost,croston/metrics_by_model.csv + inventory_by_model.csv,C-01 + T-03/T-06,4.10,strong (full population),M5-only scope by design; flat-forecast limitation noted
Simple models remain competitive,"MA validation-selected windows (M5 w14/Store w7); SES alpha 0.1; MA wins Store inventory; SES 2nd M5 cost",both,MAE + total_cost,baselines + exponential_smoothing metrics + inventory,S-01/C-pool + T-03..T-07,4.15/5,strong,H3 monotone-complexity rejected
Smooth archetype is anecdotal,n=1 series; no generalization permitted,m5,n_series,archetype_comparison/archetype_metrics.csv,AC figs + App-A,4.11/7,weak by construction (n=1),hard cap: describe only never conclude
LLM phase not executed,no LLM forecasts/results exist anywhere (verified: zero hits in 06_results; design doc only),n/a,n/a,11_src/llm_experiment_design.md (design only),none (future-work mention),7/8,n/a (absence of evidence documented),must appear ONLY as designed-but-unexecuted future work
