notebook,purpose,method_evidence,results,figures_used,tables_used,report_section,placement,execution_status
00_research_map,RQ + hypotheses H1-H4 + ladder framing,"central RQ; H1-H4 neutral framing; model ladder MA->...->LLM; 3-dimension evaluation (accuracy/inventory/practicality)",framing only (no empirical results),none (05a ladder fig is the visual twin),none,"1.3; 2.6; 8",main (design only),FINAL executed
01_environment_and_reproducibility,reproducibility record,"env snapshot; GLOBAL_SEED=42; data-path verification; manifest 05_experiments/manifests/environment.json",environment record only,none,App-C/App-I,"2.13; App I",appendix,FINAL executed
02a_m5_acquisition_and_audit,M5 dimensions + quality,"30490 series audit; evaluation-table choice; date-index (d_7) alignment proof",M5 scale/sparsity premise,"m5/01; m5/03; m5/04 (FIG set)",none,"2.2; 2.5",main,FINAL executed
02b_store_item_demand_acquisition_and_audit,Store dimensions + quality,"913000 rows = 500x1826 complete panel; 1 zero-sales entry; date bounds",Store density premise,"store/02; store/08; store/11 (FIG set)",none,"2.2; 2.5",main,FINAL executed
03_exploratory_data_analysis,M5 demand structure pre-modeling,"volume distribution; ADI/CV2 intermittency; weekly seasonality; ACF; trend",zero-rate 64.5% vs 0.02%; weekly rhythm; autocorr premise,"EDA-02/03/04 (FIG set)",none,"2.2; 2.5",main,FINAL executed
04_series_selection_and_experimental_design,frozen design authority,"common window proof; 1034/121/83 split; H28; 8 origins; M5 stratified-500 selection file; feasibility",config.json + m5_series_selection.json,DES-01 representativeness,T-01,"2.3; 2.4",main,FINAL executed (+leap-day correction recorded decisions.md 2026-09-03)
05a_time_series_components,teaching foundation only,"level/trend/seasonality/noise; additive-vs-multiplicative; ladder schematic; inventory link",none pedagogical,FIG ladder + inventory-link (D-main quota),none,"2.6; 2.10; 3",teaching appendix except 2 figs,FINAL executed
05b_baseline_forecasting,Naive/SNaive-corrected/MA,"SNaive leakage fix (repeat-last-7); MA global windows M5 w14 / Store w7 (validation-selected); leakage audit PASS",baselines metrics_by_model (MAE/RMSE/sMAPE/WAPE verified identical post-hardening),"B-01..07 (appendix pool)",T-02/T-03/T-04 rows,"2.7; 3; 4.2/4.3",main,FINAL re-executed 2026-09-03 15:35
06_exponential_smoothing,SES/DES/TES,"grids + validation-only selection (SES a0.1; DES 0.2/0.2; TES 0.3/0.3/0.3); leakage audit PASS",smoothing metrics (verified identical post-hardening),"S-01..05 (appendix pool)",T-02/T-03/T-04 rows,"2.7; 3; 4.2/4.3",main,FINAL re-executed 2026-09-03 15:36-37
06c_croston_intermittent,Croston/SBA/TSB M5 specialist,"alphas validation-selected (C 0.1; SBA 0.5; TSB 0.1/0.3); M5-only scope justification; flat-forecast limitation noted",croston metrics full 500x8x28; TSB MAE 1.010 best-of-family,C-01 MAE main + C-01 WAPE/C-02 appendix,T-02/T-03/T-06 rows,"2.7; 3; 4.10",main,FINAL executed 2026-09-03 15:42
07_arima_sarima,ARIMA full + SARIMA subset-then-full500,"ARIMA(1,1,0) both datasets; SARIMA(1,1,0)(0,1,1,7) Store; sparse pre-check >85%-zero->Naive; history<origin asserted","M5 ARIMA MAE 1.132 (22.65% fallback); Store ARIMA 0 fallbacks; SARIMA subset 8.31 EXPLORATORY; full500 8.45 FINAL (integrate_sarima_full500.py 22:49-50)",A-03 archetype main; A-01/A-02 REJECT (subset Store panels); F-NEW-02 replaces,T-02/T-03/T-04/T-09 rows,"2.7; 2.12; 3; 4.13/4.14/4.18",main,FINAL notebook 15:55 + full500 script 22:49 (2382s)
08_lstm,global LSTM per dataset,"L=28 lookback; global pooling; chronological per-series last-k-window validation (hardened); scalers fit-history-only",LSTM metrics both datasets (verified identical post-hardening); M5 MAE 0.989 / Store 7.87,L-01 MAE/WAPE main; L-02/L-03 appendix,T-02/T-03/T-04/T-06/T-07 rows,"2.7; 3; 4.12",main,FINAL re-executed 2026-09-03 18:00
