table_id,title,source,rows,columns,metric_source,placement,purpose,duplication_risk,final_status
T-01,Frozen experimental protocol,05_experiments/config.json,1,2,"common window 2013-01-01..2016-05-22 (1238d); train 1034 / val 121 incl 2016-02-29 / test 83; H28; 8 weekly origins; seed 42; M5 500 stratified / Store 500 all",main,"prove fair comparison ground truth",none,FINAL
T-02,Model taxonomy (12 models),"notebooks 05b/06/06c/07/08 + selection JSONs (MA windows; smoothing params; croston alphas; ARIMA(1,1,0)/SARIMA(1,1,0)(0,1,1,7); LSTM L28 global)",12,7,"purpose/principle/why-included/applicability/implementation/ladder-role per model",main,ladder reference,B-04-conceptual-fig complementary not duplicative,FINAL
T-03,M5 forecast leaderboard,"per-family metrics_by_model.csv + scale_free_metrics/summary.csv (all M5 rows)",11,"MAE/RMSE/MASE/RMSSE/WAPE/sMAPE",main,"headline forecast evidence M5","F-NEW-01 visual twin (intended)",FINAL
T-04,Store forecast leaderboard,"per-family metrics_by_model.csv; SARIMA row from arima/metrics_by_model.csv FULL500 (MASE 1.0546 NOT summary.csv subset 1.0688)",9,"MAE/RMSE/MASE/RMSSE/WAPE/sMAPE",main,"headline forecast evidence Store","F-NEW-01/02 visual twins (intended)",FINAL
T-05,Statistical spotlight (7 pairs),06_results/statistical_tests/pairwise_tests.csv,7,"dz/Holm-p/r/CI","M5 LSTM-TSB/MA/SES; Store LSTM-MA/SARIMA/SES; M5 MA-SES (DM n.s.)",main,"significance vs practical importance",none,FINAL
T-06,M5 inventory ranking,06_results/inventory/inventory_by_model.csv (m5 rows),11,"total/holding/shortage cost + service level",main,"decision-level evidence M5","I-01 visual twin (intended)",FINAL
T-07,Store inventory ranking,06_results/inventory/inventory_by_model.csv (store rows),9,"total/holding/shortage cost + service level",main,"decision-level evidence Store; paradox source","I-01 visual twin (intended)",FINAL
T-08,Robustness verdict,06_results/sensitivity/sensitivity_grid.csv (540 rows -> winner counts),2,"policy wins of 27; M5 LSTM 25 (SES 2 at L3/P10); Store MA9/SES7/Naive6/DES5",main,"robust-vs-fragile verdict","heatmaps + F-NEW-03 visual twins (intended)",FINAL
T-09,Convergence accounting,06_results/arima/convergence_report.csv,4,"fits/fails/fallbacks/pct + scope",main,"feasibility finding; M5 22.65% pre-check vs Store 0",none,FINAL
App-F,Full pairwise table (91 pairs),06_results/statistical_tests/pairwise_tests.csv,91,17,all columns,appendix,complete statistical record,T-05 is the spotlight subset,FINAL
App-S,Full sensitivity winner matrix,06_results/sensitivity/sensitivity_grid.csv,27,9+,winner per policy,appendix,policy-by-policy record,T-08 is the summary; 540 raw rows NOT printed,FINAL
App-A,Archetype table (55 rows),06_results/archetype_comparison/archetype_metrics.csv,55,9,"MAE/RMSE/sMAPE/WAPE pooled/MASE/RMSSE; M5 only; Smooth n=1 flagged",appendix,structure-of-demand evidence,AC-01/02 visual twins (intended),FINAL
App-SA,M5 sensitivity by archetype,06_results/sensitivity/sensitivity_by_archetype_m5.csv,55,5,cost/service per archetype,appendix,robustness-by-structure,I-06 visual twin (intended),FINAL
App-V,Validation gate log,06_results/validation_report.json,~40 gates,PASS/FAIL + detail,appendix,reproducibility proof,none,FINAL (0 FAIL)
App-C,Model configs and manifests,"moving_average_window_selection.json; model_parameters.json; execution_metadata.json; validation_selection.json; run_log_full500.json; sarima_feasibility.json",6 docs,n/a,appendix,exact implementation record,none,FINAL
